time,h,eta,u,v,hu,hv,wet,froude
0,2.2134995009030547,6.5261524176949877,0.33481138428045609,0,0.74110483200145039,0,1,0.071849871970241286
0.99999999999999989,2.2201247663921571,6.53277768318409,0.3838434063820686,0.01837289119713811,0.85218025292515986,0.040790110776994765,1,0.082343217068314573
2.0000000000000004,2.2066742011190099,6.5193271179109429,0.46898847454544396,0.050143762962055465,1.0349047674015908,0.11065094807539474,1,0.10137405776119855
3.0000000000000013,2.2126122281256282,6.5252651449175616,0.5321087555230688,0.092512042756460244,1.1773503391630524,0.20469327705182488,1,0.11592569842327795
4.0000000000000018,2.1454862953270268,6.4581392121189598,0.45928294339517373,0.1019444125145009,0.98538526073180388,0.21872033993502674,1,0.10254776167301931
4.9999999999999982,2.1396064125572996,6.4522593293492321,0.49678639335896341,0.091330157026750444,1.0629273529020511,0.19541058963430036,1,0.11025189293537759
5.9999999999999947,2.1466525490604367,6.4593054658523696,0.47710477898048054,0.11911975907452915,1.0241781899673648,0.25570873446080311,1,0.10715917662248374
6.9999999999999911,2.1765181985215012,6.4891711153134342,0.47165289885435158,0.086419735939544384,1.0265611177419172,0.18809412798384098,1,0.10377130535643575
7.9999999999999876,2.1857273528618872,6.4983802696538202,0.50010958088070367,0.025998304219787861,1.0931031903592483,0.056825204661214955,1,0.10814805622282352
8.999999999999984,2.1873259566962364,6.4999788734881694,0.48388576222461743,0.071504194088760575,1.058415887789649,0.15640297974299161,1,0.10559472699859845
9.9999999999999805,2.1678370648108096,6.4804899816027426,0.50308073120915553,0.16765689818474885,1.0905970557073317,0.36345283805611073,1,0.11498974425096792
