time,h,eta,u,v,hu,hv,wet,froude
0,0,10.168534046508427,0,0,0,0,0,0
0.99999999999999989,0,10.168534046508427,0,0,0,0,0,0
2.0000000000000004,0,10.168534046508427,0,0,0,0,0,0
3.0000000000000013,0,10.168534046508427,0,0,0,0,0,0
4.0000000000000018,0,10.168534046508427,0,0,0,0,0,0
4.9999999999999982,0,10.168534046508427,0,0,0,0,0,0
5.9999999999999947,0,10.168534046508427,0,0,0,0,0,0
6.9999999999999911,0,10.168534046508427,0,0,0,0,0,0
7.9999999999999876,0,10.168534046508427,0,0,0,0,0,0
8.999999999999984,0,10.168534046508427,0,0,0,0,0,0
9.9999999999999805,0,10.168534046508427,0,0,0,0,0,0
