time,h,eta,u,v,hu,hv,wet,froude
0,1.0216526582380823,7.1914901373762063,1.6628488316151575,0,1.6988539290677149,0,1,0.52525068959904653
0.99999999999999989,0.69870872909290282,6.8685462082310274,3.0282301858199374,-0.11956674387320448,2.1158508645350134,-0.083542327653423329,1,1.1575628025498099
2.0000000000000004,0.46138016867550119,6.6312176478136253,3.290653707138671,-0.42381552856336746,1.5182423624523034,-0.19554008005586318,1,1.5595189905372953
3.0000000000000013,0.46724501874750879,6.6370824978856326,2.909323553093623,-0.56661142130171349,1.3593669381077989,-0.2647463641686717,1,1.3844245125577364
4.0000000000000018,0.63687478546655529,6.8067122646046796,2.9726741087544011,-0.72552183579459251,1.8932211852749425,-0.46206656352298248,1,1.2241933031965992
4.9999999999999982,0.59670476539719441,6.7665422445353185,3.7104884997394927,-1.0615066834061149,2.214066169746042,-0.63340609648939972,1,1.5951407829798228
5.9999999999999947,0.73007743589399166,6.8999149150321157,4.3736328365039903,-1.319028167218373,3.1930906468165987,-0.96299270219474098,1,1.7069729728348082
6.9999999999999911,0.79113339579093256,6.9609708749290569,4.5836826510726985,-1.3180820031132277,3.6263044209711284,-1.0427786910538823,1,1.712014144583665
7.9999999999999876,0.82639663194722657,6.996234111085351,4.6608690628839051,-1.2647289065312846,3.8517264955142854,-1.0451677086837523,1,1.6961554971481589
8.999999999999984,0.86543518316780532,7.0352726623059292,4.7486833925727856,-1.2387605792738956,4.1096776816571436,-1.0720669888249605,1,1.6842914194785634
9.9999999999999805,0.91415578350935289,7.0839932626474766,4.8457845869039904,-1.2605208457143171,4.4298020057587637,-1.1523124213438436,1,1.6720037384175752
