step_index,time,dt,name,force_x,force_y,force_z,torque_x,torque_y,torque_z,application_x,application_y,application_z,metadata
0,0.0,0.016666666666666666,buoyancy:left_tube:0,5.9930358176080905,-6.45969029212904e-05,1060.7179664183618,-1007.6820680974437,1733.2131571275886,5.69348957806706,140.366,-0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""left_tube"", ""submerged_depth"": 0.3592289705571916}"
0,0.0,0.016666666666666666,buoyancy:right_tube:1,5.9930358176080905,6.45969029212904e-05,1060.7179664183618,1007.6820680974437,1733.2131571275886,-5.69348957806706,140.366,0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""right_tube"", ""submerged_depth"": 0.3592289705571916}"
0,0.0,0.016666666666666666,buoyancy:left_tube:2,5.894098094260579,-0.00013002466025282365,1042.072535413743,-989.9689086430558,537.7094282734822,5.599460282272241,141.484,-0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""left_tube"", ""submerged_depth"": 0.3529144117549027}"
0,0.0,0.016666666666666666,buoyancy:right_tube:3,5.894098094260579,0.00013002466025282365,1042.072535413743,989.9689086430558,537.7094282734822,-5.599460282272241,141.484,0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""right_tube"", ""submerged_depth"": 0.3529144117549027}"
0,0.0,0.016666666666666666,buoyancy:left_tube:4,5.794931044967433,-0.00019307043755482757,1023.4271056668068,-972.2557503834664,-616.1031176114217,5.505068264315653,142.602,-0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""left_tube"", ""submerged_depth"": 0.34659985295261364}"
0,0.0,0.016666666666666666,buoyancy:right_tube:5,5.794931044967433,0.00019307043755482757,1023.4271056668068,972.2557503834664,-616.1031176114217,-5.505068264315653,142.602,0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""right_tube"", ""submerged_depth"": 0.34659985295261364}"
0,0.0,0.016666666666666666,buoyancy:left_tube:6,5.695534669739909,-0.000253734234820159,1004.7816771796696,-954.542593320686,-1728.2244847490306,5.4103215133690234,143.72,-0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""left_tube"", ""submerged_depth"": 0.3402852941503248}"
0,0.0,0.016666666666666666,buoyancy:right_tube:7,5.695534669739909,0.000253734234820159,1004.7816771796696,954.542593320686,-1728.2244847490306,-5.4103215133690234,143.72,0.95,0.29034775638392574,"{""area_m2"": 0.301, ""kind"": ""right_tube"", ""submerged_depth"": 0.3402852941503248}"
0,0.0,0.016666666666666666,buoyancy:floor:8,10.02970866797969,-5.929653733799573e-05,1774.210214024018,-606.7799023278808,1905.7314049409301,3.4302241082266924,140.925,-0.34199999999999997,0.1363477563839257,"{""area_m2"": 0.354578, ""kind"": ""floor"", ""submerged_depth"": 0.5100716911560471}"
0,0.0,0.016666666666666666,buoyancy:floor:9,10.02970866797969,5.929653733799573e-05,1774.210214024018,606.7799023278808,1905.7314049409301,-3.4302241082266924,140.925,0.34199999999999997,0.1363477563839257,"{""area_m2"": 0.354578, ""kind"": ""floor"", ""submerged_depth"": 0.5100716911560471}"
0,0.0,0.016666666666666666,buoyancy:floor:10,9.92068525669593,-9.735304467413835e-05,1753.090660520822,-599.5570208904899,-1.5277855295311733,3.3928743577900073,142.0,-0.34199999999999997,0.1363477563839257,"{""area_m2"": 0.354578, ""kind"": ""floor"", ""submerged_depth"": 0.504}"
